Name,MP ,GS ,A ,CS ,GC ,OG ,PS ,PM ,YC ,RC ,S ,B ,ESP ,BPS ,TP ,fpl_base.Team,Score,Opponent,H/A,GW,Pos,Difficulty rank,Difficulty desc,PID,B (PPI),B +/-,Own%
Parr,45,0,0,0,1,0,0,0,0,0,0,0,4,0,1,CRY,0 - 3,NEW,Home,17,DEF,9,Average,110,0,,2
Mariappa,90,0,0,0,3,0,0,0,0,0,0,0,7,4,1,CRY,0 - 3,NEW,Home,17,DEF,9,Average,575,0,,2
Bannan,45,0,0,0,2,0,0,0,0,0,0,0,8,1,1,CRY,0 - 3,NEW,Home,17,MID,9,Average,35,0,,0.009
Bolasie,45,0,0,0,1,0,0,0,0,0,0,0,3,0,1,CRY,0 - 3,NEW,Home,17,MID,9,Average,111,0,,1
Jedinak,90,0,0,0,3,0,0,0,0,0,0,0,12,4,2,CRY,0 - 3,NEW,Home,17,MID,9,Average,114,0,,7
Puncheon,90,0,0,0,3,0,0,0,0,0,0,0,6,0,2,CRY,0 - 3,NEW,Home,17,MID,9,Average,335,0,,0.011
Chamakh,90,0,0,0,3,0,0,0,1,0,0,0,1,0,1,CRY,0 - 3,NEW,Home,17,FWD,9,Average,23,0,,0.046
Gayle,14,0,0,0,1,0,0,0,0,0,0,0,0,1,1,CRY,0 - 3,NEW,Home,17,FWD,9,Average,120,0,,0.015
Jerome,76,0,0,0,2,0,0,0,0,0,0,0,6,-1,2,CRY,0 - 3,NEW,Home,17,FWD,9,Average,366,0,,3
Stekelenburg,90,0,0,0,4,0,0,0,0,0,6,0,8,5,2,FUL,2 - 4,MCI,Home,17,GKP,28,Very difficult,148,0,,0.015
Senderos,36,0,0,0,1,0,0,0,0,0,0,0,1,1,1,FUL,2 - 4,MCI,Home,17,DEF,28,Very difficult,150,0,,7
Hughes,90,0,0,0,4,0,0,0,0,0,0,0,6,5,0,FUL,2 - 4,MCI,Home,17,DEF,28,Very difficult,151,0,,6
Riise,90,0,0,0,4,0,0,0,0,0,0,0,5,0,0,FUL,2 - 4,MCI,Home,17,DEF,28,Very difficult,153,0,,0.009
Riether,90,0,1,0,4,0,0,0,0,0,0,0,12,6,3,FUL,2 - 4,MCI,Home,17,DEF,28,Very difficult,154,0,,12
Amorebieta,54,0,0,0,3,0,0,0,0,0,0,0,7,2,0,FUL,2 - 4,MCI,Home,17,DEF,28,Very difficult,156,0,,3
Sidwell,90,0,0,0,4,0,0,0,0,0,0,0,2,4,2,FUL,2 - 4,MCI,Home,17,MID,28,Very difficult,157,0,,28
Kasami,26,0,0,0,2,0,0,0,0,0,0,0,1,1,1,FUL,2 - 4,MCI,Home,17,MID,28,Very difficult,159,0,,0.051
Richardson,90,1,0,0,4,0,0,0,0,0,0,0,19,7,7,FUL,2 - 4,MCI,Home,17,MID,28,Very difficult,162,0,,0
Dejagah,64,0,0,0,2,0,0,0,0,0,0,0,7,5,2,FUL,2 - 4,MCI,Home,17,MID,28,Very difficult,163,0,,0
Parker,90,0,0,0,4,0,0,0,0,0,0,0,12,5,2,FUL,2 - 4,MCI,Home,17,MID,28,Very difficult,438,0,,14
Karagounis,81,0,0,0,3,0,0,0,1,0,0,0,4,4,1,FUL,2 - 4,MCI,Home,17,MID,28,Very difficult,508,0,,4
Taarabt,90,0,1,0,4,0,0,0,0,0,0,0,39,7,5,FUL,2 - 4,MCI,Home,17,MID,28,Very difficult,533,3,-3,16
Bent,9,0,0,0,1,0,0,0,0,0,0,0,0,1,1,FUL,2 - 4,MCI,Home,17,FWD,28,Very difficult,48,0,,0.011
Mignolet,90,0,0,0,1,0,0,0,0,0,2,0,14,2,2,LIV,3 - 1,CAR,Home,17,GKP,2,Very favourable,192,0,,375
Kelly,36,0,0,0,1,0,0,0,0,0,0,0,5,1,1,LIV,3 - 1,CAR,Home,17,DEF,2,Very favourable,193,0,,2
Johnson,90,0,0,0,1,0,0,0,0,0,0,0,19,1,2,LIV,3 - 1,CAR,Home,17,DEF,2,Very favourable,194,0,,0.07
Skrtel,90,0,0,0,1,0,0,0,1,0,0,0,11,3,1,LIV,3 - 1,CAR,Home,17,DEF,2,Very favourable,195,0,,0.015
Agger,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,LIV,3 - 1,CAR,Home,17,DEF,2,Very favourable,196,0,,0.045
Flanagan,54,0,0,0,0,0,0,0,0,0,0,0,17,4,1,LIV,3 - 1,CAR,Home,17,DEF,2,Very favourable,556,0,,0.013
Sakho,90,0,0,0,1,0,0,0,0,0,0,0,16,6,2,LIV,3 - 1,CAR,Home,17,DEF,2,Very favourable,571,0,,0.01
Lucas,90,0,0,0,1,0,0,0,0,0,0,0,16,5,2,LIV,3 - 1,CAR,Home,17,MID,2,Very favourable,204,0,,0.03
Henderson,90,0,2,0,1,0,0,0,0,0,0,2,31,12,10,LIV,3 - 1,CAR,Home,17,MID,2,Very favourable,205,1,1,0.044
